pubkey,amount
AWXMd7ccDwnE6GAueGNnFdvcZvu5UsGtgGMyE4cW1rVa,2605
9HHLDRaaSo3EEhU5MyuMToN4VHs33XVhiZFwcjxFF18v,2595
5dXHvUuUkJeezgfMbke7PhE2zQBeHw9RdgMpCJNidXCs,2589
67pUPD8ggjHjGiMEEkiKmQmt4HRTL2eZDjorAQmnMPCt,2586
GTcTfD4LfbhSV1cwJu3udnzPDSW64LBc5dbfh6uiPegc,2582
25CMtPkDy4wU8Lkg625cpGfVbnQuuXPgBCkZVrbJ3zRY,2568
3ND5aia3RTBKa1tLho2MqmckRrRnuVn6SYV2pY2UJPrY,2561
AYzFGYr8Rj9hJ8gPwGNKEqK61HxdW8FeML32oWpoagqK,2556
CKiAiyoxFaHCiN8jCCUWERDeuFBSrvFoAsT47pg8ifuL,2549
G64MC845iQSBLtscgN9wCzRE8f7cjr4uctZPyhAznEVh,2548
4zMorufqcPV2fVvDtX7PFciEfPoUP8JR85874FTq4LDH,2509
9pjnH2MGZ468AqBwpGuaKvUhDSBaxqJ5e34EUB5yrtJT,2493
6YLKPcv3yKiEE2jdxcFW6DWtHYcXv7zpkk41SaG6L9X1,2486
EC6HYQaHYrWGdAhFCCjeEhg1Z6X7EsuTSAokwsNeV5Z9,2482
5Lpk8SxyyeR9ZatF4j8hSnUyt9EsdCfuE965sSCxaSAh,2441
6ufrZFnghffK3kbXFPrL3AJjpZ1pydmB2mZic5bY6KiT,2439
FMWj5U5JCMHci74wrj254PAVVtn6PcFJihFvmmfqFTqx,2427
8xjHAQZs9dxGmbLQmaoVr6Um39AEnBFxKpGdEukfweFo,2386
4yZBFSx7Ngsa7jqje2cz9aLnph1MkVtxE18oacj9ARs8,2379
FoDtiWomPCdAbg5Ayy8xiUNCNJ6snn2oRsQkAysMmgFL,2372
2tXiy3TK15VfssKzkRofKoG9efCnTHc9MGe91XcwepJc,2363
EncBTvdDKgUt2QWiFW4TRRUMppa5ZgE9Ug6a5gPpLhga,2361
7rS9dbjyNJrZgfXnMuJrdUPukhDECbegUbXog7dJijS1,2339
LMJBL7FDh9uFcJCRgjbWsnDi9kmmz3wayMdxxTt99R5,2333
BrXfKURcVaCFWfRB2bcAJowL9qAFHXhauEJ9xQWDePTc,2328
3JDARue6LBtBugJbtgxVhte3shCNtWsQ5cZQmxiXHppq,2310
HbcZwDSVpNnGhaBz8AM91HfdjEzxYN36RrVdqPVTjKX5,2306
FJJwd7ZrbuYmZBKbm9tDAmygPb6FfgsdBgMKTMCTRYQE,2273
H2UKydNVFx2qQRkXbACtkqLzocckdurqUFdqzAPKAeDc,2272
HPfLQHzqc1mBdW1nQTxon9naa1FwgHh8jK61rhjVxuUA,2263
1wtVf5CbeV5qTou96TtjCE2p1oVzwzcjATwL8G5hXoN,2260
MagicYiw9AtQEZoNSxNwkBur3u9NQkKxnJY16MwaexV,2238
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,2234
73DdHEcuEZ8MhmSdK2vJiHPR9sWwfBA9J1ZQ8MXHtdzD,2233
5PgmxXSSXwEsg7TsZHt3kWtLyeyuecNb6qSqj2nPKWZe,2223
AdJZantavxRU5qmbpDo3Pxgn3nNVghsZJZ3kug2pKtWq,2214
DPcJideQPqLrL6qk7PXw5kCEryKixNqharYxh2Q4Mo69,2209
HpNYknorHrwkKU1fwe2E4kBYGRkvtJ5VfbjGjFvoi6ch,2201
C7VrNura6NJNtozDmGLJZh3YQnHgX2fQ1jTpXVbAf7bE,2191
2yjkzt7myhxfGW6mE25SgPTbAQUVQMB4VhKM5pEaVvfN,2168
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,2145
BrykrnPr3znwqpfyU7HBJ6gAy4heUWLfDEXnGDLD7XsA,2136
8Bp2WJaTqaYKUDBA5LYdBLV9voheiZ2Uw1DvHYqYSu3L,2135
2Qf2LnTZHPzpYgC2nEupgA4mkJmTFLBH5bZznw6avDUm,2133
6vHBPvsDmicx7A8oZsJy3RV5NhuJ21eTo7omwa43x66a,2130
86HjZwnr45o2cQR4i73opbjNFRKdXUhvmoNTJgJj3qGm,2106
4XDZWMyyAwqcuGQJBMCc1vc34r91bnCJNYAcrjqb9ppA,2098
ELYNNPBjKzDrPKKndEzEQDhfHMVKi7ZZ9BzqbuZSfc12,2095
AWvvq6WEoXS64R9hiNHTY9vA6Y774s46GpizCppy4aLU,2081
5oLgNaGpSiYrxZeyvU77p8X2cyuSR7MvAJ5XdtuxtzHu,2075
JABPRPbTzdZc1kZ3xS2q9zJFoaGkRJ4UcD2YT7Xt19R8,2061
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,2029
GQYQvJ3sU9ERmM7pQRJiZVxkMr1zjksLt3bugUTf4hWE,2029
HUgS2gNhuGdpk3JSnu4zTUA8H1uWxoe3NaVeJmefebtL,2025
56j1ZvcgzES62LAmLSGnzFD1B1VrK9cHwdnocFudGbc2,2019
